2025-06-24T00:15:49.451+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-2] o.s.web.servlet.DispatcherServlet        : GET "/quizzes?type=ALL&page=1&size=10", parameters={masked}
2025-06-24T00:32:52.581+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.581+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.581+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.582+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.582+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.582+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.583+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.584+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.584+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.584+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.584+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.585+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.585+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.585+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.585+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.586+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [*/*] and supported [application/json, application/*+json]
2025-06-24T00:32:52.586+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [ApiResponse(status=200, message=取得成功, data={totalItems=19, totalPages=2, pageSize=10, currentPage=1, (truncated)...]
2025-06-24T00:32:52.586+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-5] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2025-06-24T00:32:52.587+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] o.s.web.servlet.DispatcherServlet        : GET "/quizzes?type=ALL&page=1&size=10", parameters={masked}
2025-06-24T00:32:52.587+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.example.quizz_b.controller.QuizController#getAllQuizzes(String, int, int)
2025-06-24T00:32:52.588+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select q1_0.id,q1_0.answer_detail,q1_0.user_id,q1_0.create_time,q1_0.flash_answer,q1_0.is_delete,q1_0.quiz_type,q1_0.single_answer_id,q1_0.title,q1_0.title_detail,q1_0.update_time from quiz q1_0 where q1_0.is_delete=0 order by q1_0.create_time desc limit ?
2025-06-24T00:32:52.589+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select u1_0.id,u1_0.avatar_url,u1_0.bio,u1_0.code_generated_at,u1_0.create_time,u1_0.email,u1_0.password,u1_0.profile_bg_url,u1_0.role,u1_0.status,u1_0.update_time,u1_0.username,u1_0.verification_code from users u1_0 where u1_0.id=?
2025-06-24T00:32:52.590+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(q1_0.id) from quiz q1_0 where q1_0.is_delete=0
2025-06-24T00:32:52.591+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.591+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.591+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.592+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.593+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.593+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.593+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.594+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.595+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.595+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.595+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.596+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.597+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.598+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.598+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:32:52.598+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:32:52.600+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:32:52.600+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [*/*] and supported [application/json, application/*+json]
2025-06-24T00:32:52.600+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [ApiResponse(status=200, message=取得成功, data={totalItems=19, totalPages=2, pageSize=10, currentPage=1, (truncated)...]
2025-06-24T00:32:52.600+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-8] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] o.s.web.servlet.DispatcherServlet        : GET "/quizzes/UserRecord", parameters={}
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.example.quizz_b.controller.QuizController#getQuiz(Long)
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] o.s.web.method.HandlerMethod             : Could not resolve parameter [0] in public org.springframework.http.ResponseEntity<com.example.quizz_b.response.ApiResponse<com.example.quizz_b.model.dto.QuizDto>> com.example.quizz_b.controller.QuizController.getQuiz(java.lang.Long): Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.lang.Long'; For input string: "UserRecord"
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Using @ExceptionHandler com.example.quizz_b.exception.GlobalExceptionHandler#handleRuntimeException(RuntimeException)
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Using 'application/json', given [*/*] and supported [application/json, application/*+json]
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] o.s.w.s.m.m.a.HttpEntityMethodProcessor  : Writing [ApiResponse(status=400, message=Method parameter 'id': Failed to convert value of type 'java.lang.St (truncated)...]
2025-06-24T00:33:28.115+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] .m.m.a.ExceptionHandlerExceptionResolver : Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.lang.Long'; For input string: "UserRecord"]
2025-06-24T00:33:28.116+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-3] o.s.web.servlet.DispatcherServlet        : Completed 400 BAD_REQUEST
2025-06-24T00:33:28.119+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] o.s.web.servlet.DispatcherServlet        : GET "/quizzes?type=ALL&page=1&size=10", parameters={masked}
2025-06-24T00:33:28.119+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped to com.example.quizz_b.controller.QuizController#getAllQuizzes(String, int, int)
2025-06-24T00:33:28.120+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select q1_0.id,q1_0.answer_detail,q1_0.user_id,q1_0.create_time,q1_0.flash_answer,q1_0.is_delete,q1_0.quiz_type,q1_0.single_answer_id,q1_0.title,q1_0.title_detail,q1_0.update_time from quiz q1_0 where q1_0.is_delete=0 order by q1_0.create_time desc limit ?
2025-06-24T00:33:28.121+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select u1_0.id,u1_0.avatar_url,u1_0.bio,u1_0.code_generated_at,u1_0.create_time,u1_0.email,u1_0.password,u1_0.profile_bg_url,u1_0.role,u1_0.status,u1_0.update_time,u1_0.username,u1_0.verification_code from users u1_0 where u1_0.id=?
2025-06-24T00:33:28.122+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(q1_0.id) from quiz q1_0 where q1_0.is_delete=0
2025-06-24T00:33:28.123+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:33:28.123+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:33:28.123+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:33:28.124+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:33:28.124+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:33:28.124+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:33:28.125+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:33:28.125+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:33:28.125+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:33:28.126+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:33:28.126+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:33:28.126+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:33:28.126+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:33:28.127+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:33:28.127+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:33:28.127+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
2025-06-24T00:33:28.128+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=? and qr1_0.is_correct
2025-06-24T00:33:28.128+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select t1_0.quiz_id,t1_1.id,t1_1.count_article,t1_1.count_quiz,t1_1.count_search,t1_1.create_time,t1_1.home_hot_order,t1_1.name,t1_1.update_time from quiz_tags t1_0 join tags t1_1 on t1_1.id=t1_0.tag_id where t1_0.quiz_id=?
2025-06-24T00:33:28.128+08:00 DEBUG 46028 --- [quizz-b] [http-nio-8081-exec-9] org.hibernate.SQL                        : select count(qr1_0.id) from quiz_records qr1_0 left join quiz q1_0 on q1_0.id=qr1_0.quiz_id where q1_0.id=?
